tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_to_MonthlyCharges_ratio,customerID
51,Yes,One year,Electronic check,111.55,5720.35,No,51.28059166293143,1610
51,Yes,Two year,Credit card (automatic),60.5,3121.45,No,51.59421487603306,1611
72,Yes,Two year,Bank transfer (automatic),90.95,6468.6,No,71.12259483232546,1612
67,Yes,One year,Electronic check,87.4,5918.8,Yes,67.720823798627,1613
34,Yes,Month-to-month,Mailed check,19.7,675.6,No,34.29441624365482,1614
67,No,Two year,Bank transfer (automatic),50.95,3521.7,No,69.1207065750736,1615
49,Yes,One year,Bank transfer (automatic),20.05,923.1,No,46.03990024937656,1616
53,Yes,Two year,Mailed check,19.4,1110.35,No,57.23453608247423,1617
27,Yes,Month-to-month,Electronic check,59.45,1611.65,No,27.109335576114383,1618
23,Yes,Month-to-month,Electronic check,94.75,2293.6,Yes,24.206860158311343,1619
69,Yes,Two year,Credit card (automatic),81.5,5553.25,No,68.13803680981596,1620
2,No,Month-to-month,Bank transfer (automatic),29.05,44.75,No,1.540447504302926,1621
35,Yes,Month-to-month,Electronic check,86.45,3029.1,Yes,35.03875072296125,1622
46,Yes,One year,Mailed check,70.6,3231.05,No,45.76558073654392,1623
54,Yes,Two year,Bank transfer (automatic),97.2,5129.45,No,52.77211934156378,1624
56,Yes,One year,Electronic check,98.25,5508.35,Yes,56.064631043257,1625
9,Yes,Month-to-month,Bank transfer (automatic),75.75,655.9,Yes,8.658745874587458,1626
20,Yes,Month-to-month,Bank transfer (automatic),59.2,1191.2,No,20.12162162162162,1627
11,Yes,Month-to-month,Mailed check,75.9,866.4,No,11.415019762845848,1628
30,Yes,Month-to-month,Electronic check,90.05,2627.2,No,29.174902831760132,1629
68,Yes,Two year,Bank transfer (automatic),70.95,4741.45,No,66.82804792107117,1630
38,Yes,Month-to-month,Electronic check,102.6,4009.2,No,39.07602339181287,1631
17,Yes,Month-to-month,Bank transfer (automatic),85.35,1463.45,Yes,17.146455770357353,1632
48,Yes,One year,Credit card (automatic),106.1,5082.8,Yes,47.905749293119705,1633
1,Yes,Month-to-month,Electronic check,43.8,43.8,No,1.0,1634
63,No,Two year,Electronic check,59.0,3707.6,No,62.840677966101694,1635
3,Yes,One year,Electronic check,69.95,220.45,No,3.1515368120085774,1636
48,Yes,One year,Bank transfer (automatic),24.35,1133.7,No,46.558521560574945,1637
66,No,One year,Credit card (automatic),29.45,1983.15,No,67.33955857385399,1638
68,Yes,Two year,Credit card (automatic),84.4,5746.75,No,68.08945497630332,1639
17,Yes,Month-to-month,Electronic check,45.05,770.6,Yes,17.105438401775807,1640
7,Yes,One year,Mailed check,20.65,134.05,No,6.491525423728815,1641
72,Yes,Two year,Bank transfer (automatic),87.1,6230.1,No,71.5281285878301,1642
29,Yes,Month-to-month,Mailed check,19.85,573.05,No,28.86901763224181,1643
37,Yes,Month-to-month,Electronic check,90.35,3419.3,No,37.84504703929165,1644
34,Yes,Month-to-month,Mailed check,109.8,3587.25,Yes,32.6707650273224,1645
42,Yes,Month-to-month,Electronic check,84.65,3541.35,Yes,41.835203780271705,1646
59,Yes,One year,Mailed check,65.5,3801.3,No,58.0351145038168,1647
11,Yes,Month-to-month,Bank transfer (automatic),79.5,868.5,Yes,10.924528301886792,1648
60,Yes,Month-to-month,Electronic check,80.95,4859.1,No,60.02594193946881,1649
27,Yes,Month-to-month,Mailed check,56.15,1439.35,No,25.6340160284951,1650
1,Yes,Month-to-month,Mailed check,85.8,85.8,Yes,1.0,1651
1,Yes,Month-to-month,Electronic check,79.1,79.1,Yes,1.0,1652
17,No,Month-to-month,Mailed check,34.4,592.75,No,17.23110465116279,1653
58,Yes,Two year,Mailed check,20.75,1185.95,No,57.154216867469884,1654
1,Yes,One year,Mailed check,18.8,18.8,No,1.0,1655
3,Yes,Month-to-month,Mailed check,44.3,134.5,Yes,3.0361173814898423,1656
53,Yes,Month-to-month,Electronic check,90.8,4921.2,No,54.198237885462554,1657
35,Yes,Month-to-month,Electronic check,25.6,901.25,No,35.205078125,1658
50,Yes,Month-to-month,Credit card (automatic),105.95,5341.8,Yes,50.418121755545066,1659
68,Yes,Two year,Credit card (automatic),70.8,4859.95,No,68.6433615819209,1660
47,Yes,Month-to-month,Electronic check,25.4,1139.2,No,44.85039370078741,1661
65,Yes,Month-to-month,Bank transfer (automatic),108.8,7082.45,No,65.09604779411765,1662
5,Yes,Month-to-month,Electronic check,69.75,324.6,Yes,4.6537634408602155,1663
51,Yes,Month-to-month,Electronic check,94.65,4812.75,Yes,50.847860538827256,1664
46,Yes,Month-to-month,Bank transfer (automatic),96.05,4399.5,Yes,45.80426861009891,1665
9,Yes,Month-to-month,Electronic check,76.85,663.55,No,8.634352635003253,1666
8,Yes,Two year,Mailed check,20.25,174.65,No,8.624691358024691,1667
14,Yes,One year,Credit card (automatic),24.8,321.7,No,12.971774193548386,1668
45,Yes,Month-to-month,Electronic check,115.65,5125.5,No,44.31906614785992,1669
8,Yes,Month-to-month,Credit card (automatic),74.6,548.9,No,7.357908847184987,1670
1,Yes,Month-to-month,Mailed check,50.15,50.15,Yes,1.0,1671
66,Yes,One year,Bank transfer (automatic),103.15,7031.3,No,68.16577799321377,1672
72,Yes,Two year,Credit card (automatic),72.1,5016.65,No,69.57905686546464,1673
41,Yes,Month-to-month,Bank transfer (automatic),113.6,4594.95,Yes,40.44850352112676,1674
23,Yes,Two year,Mailed check,25.1,611.45,No,24.360557768924302,1675
29,Yes,Month-to-month,Electronic check,78.9,2384.15,Yes,30.217363751584283,1676
4,Yes,Month-to-month,Electronic check,80.15,319.85,No,3.990642545227698,1677
6,Yes,Two year,Mailed check,25.4,153.3,No,6.035433070866143,1678
67,Yes,One year,Credit card (automatic),105.4,7035.6,No,66.75142314990512,1679
7,Yes,Month-to-month,Mailed check,45.75,344.2,No,7.523497267759563,1680
56,Yes,One year,Mailed check,24.45,1431.65,No,58.55419222903886,1681
72,Yes,Two year,Credit card (automatic),25.0,1849.2,No,73.968,1682
72,Yes,Two year,Electronic check,85.25,6083.1,No,71.35601173020528,1683
23,Yes,Two year,Credit card (automatic),19.6,426.65,No,21.76785714285714,1684
35,Yes,Month-to-month,Mailed check,50.15,1655.35,No,33.00797607178465,1685
27,Yes,Month-to-month,Electronic check,70.55,1943.9,No,27.553508150248053,1686
26,Yes,Month-to-month,Electronic check,60.05,1616.15,Yes,26.913405495420484,1687
12,Yes,One year,Mailed check,26.4,314.95,No,11.929924242424242,1688
40,Yes,Two year,Mailed check,20.15,804.85,No,39.94292803970224,1689
7,No,Month-to-month,Mailed check,58.85,465.7,No,7.913338997451147,1690
70,Yes,Month-to-month,Credit card (automatic),97.55,6669.05,No,68.36545361353153,1691
60,Yes,Two year,Credit card (automatic),19.65,1161.75,No,59.12213740458016,1692
39,No,One year,Credit card (automatic),25.25,947.75,No,37.53465346534654,1693
72,Yes,Two year,Credit card (automatic),114.45,8375.05,No,73.17649628658802,1694
1,No,Month-to-month,Electronic check,34.7,34.7,Yes,1.0,1695
54,Yes,One year,Electronic check,70.7,3770.0,No,53.32390381895332,1696
3,Yes,Month-to-month,Electronic check,85.3,264.8,Yes,3.1043376318874563,1697
63,Yes,Two year,Credit card (automatic),75.55,4707.85,No,62.314361350099276,1698
71,Yes,Two year,Electronic check,84.8,6152.4,No,72.55188679245283,1699
42,Yes,One year,Mailed check,20.65,958.1,No,46.39709443099274,1700
47,Yes,Two year,Bank transfer (automatic),20.45,943.0,No,46.11246943765281,1701
66,Yes,One year,Credit card (automatic),102.45,6615.15,Yes,64.56954612005856,1702
21,Yes,Month-to-month,Bank transfer (automatic),104.4,2200.25,Yes,21.075191570881223,1703
11,No,Month-to-month,Electronic check,35.65,425.1,No,11.924263674614307,1704
1,Yes,Month-to-month,Electronic check,99.75,99.75,Yes,1.0,1705
55,Yes,Month-to-month,Electronic check,90.45,5044.8,No,55.77446102819237,1706
69,Yes,Two year,Credit card (automatic),97.65,6743.55,No,69.05837173579108,1707
3,Yes,Month-to-month,Electronic check,73.85,196.4,No,2.659444820582262,1708
4,Yes,Month-to-month,Electronic check,74.4,299.7,Yes,4.028225806451612,1709
30,Yes,Two year,Credit card (automatic),69.1,2093.9,No,30.302460202604923,1710
5,Yes,Month-to-month,Electronic check,82.75,417.75,No,5.04833836858006,1711
71,Yes,Two year,Credit card (automatic),24.4,1725.4,No,70.71311475409837,1712
29,Yes,One year,Electronic check,55.25,1620.2,No,29.324886877828057,1713
52,Yes,Month-to-month,Bank transfer (automatic),61.35,3169.55,No,51.66340668296659,1714
68,Yes,One year,Credit card (automatic),76.75,5233.25,No,68.185667752443,1715
46,Yes,Two year,Mailed check,19.4,967.85,No,49.889175257731964,1716
8,Yes,Month-to-month,Credit card (automatic),54.75,438.05,No,8.000913242009133,1717
72,Yes,Two year,Credit card (automatic),19.7,1421.9,No,72.17766497461929,1718
17,Yes,One year,Bank transfer (automatic),19.9,323.15,No,16.238693467336685,1719
3,Yes,Month-to-month,Electronic check,107.95,318.6,No,2.9513663733209823,1720
2,Yes,Month-to-month,Bank transfer (automatic),83.8,163.7,No,1.9534606205250595,1721
9,Yes,Month-to-month,Credit card (automatic),74.25,639.65,Yes,8.614814814814814,1722
51,No,One year,Credit card (automatic),56.4,2928.5,No,51.92375886524823,1723
6,Yes,Two year,Mailed check,20.1,100.35,No,4.992537313432835,1724
3,Yes,Month-to-month,Electronic check,94.9,273.2,No,2.8788198103266596,1725
17,Yes,Month-to-month,Electronic check,94.2,1608.15,No,17.071656050955415,1726
30,Yes,Month-to-month,Electronic check,49.9,1441.95,No,28.89679358717435,1727
31,Yes,Month-to-month,Electronic check,71.05,2168.15,No,30.51583391977481,1728
45,Yes,Two year,Bank transfer (automatic),81.65,3618.7,No,44.31965707287201,1729
64,Yes,One year,Bank transfer (automatic),89.45,5692.65,No,63.64058133035215,1730
1,Yes,Month-to-month,Electronic check,59.85,59.85,Yes,1.0,1731
1,Yes,Month-to-month,Electronic check,69.6,69.6,Yes,1.0,1732
61,Yes,One year,Electronic check,99.0,5969.3,No,60.295959595959594,1733
1,Yes,Month-to-month,Mailed check,19.05,19.05,No,1.0,1734
9,No,Month-to-month,Electronic check,45.4,418.8,Yes,9.22466960352423,1735
72,Yes,Two year,Bank transfer (automatic),114.45,8100.55,No,70.77806902577545,1736
1,Yes,Month-to-month,Mailed check,19.5,19.5,Yes,1.0,1737
7,Yes,Month-to-month,Mailed check,44.25,313.45,No,7.083615819209039,1738
66,Yes,One year,Bank transfer (automatic),90.55,6130.95,No,67.7078961899503,1739
1,Yes,Month-to-month,Electronic check,69.9,69.9,Yes,1.0,1740
40,Yes,Month-to-month,Bank transfer (automatic),20.4,745.3,No,36.53431372549019,1741
16,Yes,Month-to-month,Bank transfer (automatic),71.4,1212.1,No,16.976190476190474,1742
2,Yes,Month-to-month,Bank transfer (automatic),87.15,183.75,Yes,2.108433734939759,1743
67,Yes,Two year,Credit card (automatic),24.85,1583.5,No,63.72233400402414,1744
41,Yes,One year,Bank transfer (automatic),104.45,4162.05,No,39.847295356629964,1745
56,Yes,Two year,Credit card (automatic),19.8,1119.9,No,56.56060606060606,1746
72,Yes,Two year,Bank transfer (automatic),116.45,8013.55,No,68.81537140403607,1747
3,Yes,Month-to-month,Bank transfer (automatic),84.75,264.85,Yes,3.1250737463126845,1748
54,Yes,Two year,Credit card (automatic),20.05,1102.4,No,54.98254364089776,1749
52,Yes,Month-to-month,Electronic check,110.75,5832.0,No,52.659142212189614,1750
50,Yes,Two year,Bank transfer (automatic),89.7,4304.5,No,47.98773690078038,1751
14,Yes,Month-to-month,Electronic check,89.95,1178.4,Yes,13.100611450806005,1752
27,Yes,One year,Credit card (automatic),48.7,1421.75,No,29.194045174537987,1753
72,Yes,Two year,Bank transfer (automatic),96.6,6827.5,No,70.67805383022775,1754
62,Yes,One year,Credit card (automatic),74.3,4698.05,No,63.23082099596232,1755
12,Yes,Month-to-month,Electronic check,54.3,654.5,No,12.05340699815838,1756
44,Yes,One year,Bank transfer (automatic),74.85,3268.05,No,43.66132264529059,1757
54,Yes,Two year,Bank transfer (automatic),79.95,4362.05,No,54.55972482801751,1758
68,Yes,Two year,Bank transfer (automatic),20.05,1386.9,No,69.17206982543641,1759
20,Yes,Month-to-month,Mailed check,19.4,415.4,No,21.41237113402062,1760
50,Yes,One year,Bank transfer (automatic),54.9,2614.1,No,47.61566484517304,1761
58,Yes,Two year,Credit card (automatic),24.45,1513.6,No,61.90593047034765,1762
35,Yes,Month-to-month,Bank transfer (automatic),89.65,3161.6,No,35.26603457891801,1763
2,Yes,Month-to-month,Electronic check,45.4,80.95,No,1.7830396475770927,1764
63,Yes,Two year,Mailed check,75.7,4676.7,No,61.77939233817701,1765
58,Yes,One year,Credit card (automatic),110.65,6526.65,No,58.98463624039764,1766
27,Yes,One year,Mailed check,20.55,583.3,No,28.384428223844278,1767
71,Yes,Two year,Credit card (automatic),115.15,8078.1,No,70.15284411636995,1768
63,Yes,One year,Credit card (automatic),58.55,3503.5,No,59.83774551665244,1769
71,Yes,Month-to-month,Bank transfer (automatic),93.25,6669.45,No,71.52225201072386,1770
41,Yes,Month-to-month,Electronic check,113.2,4689.5,Yes,41.42667844522968,1771
13,Yes,Month-to-month,Electronic check,90.5,1201.15,Yes,13.272375690607737,1772
2,Yes,Month-to-month,Electronic check,79.0,143.65,Yes,1.818354430379747,1773
68,Yes,Two year,Bank transfer (automatic),19.35,1292.65,No,66.80361757105943,1774
1,Yes,Month-to-month,Mailed check,48.75,48.75,No,1.0,1775
65,Yes,Two year,Electronic check,109.05,7108.2,No,65.18294360385144,1776
72,Yes,Two year,Bank transfer (automatic),25.0,1802.55,No,72.102,1777
28,Yes,Month-to-month,Credit card (automatic),54.9,1505.15,No,27.416211293260474,1778
72,Yes,Two year,Credit card (automatic),24.75,1859.1,No,75.11515151515151,1779
2,Yes,Month-to-month,Electronic check,91.15,168.5,No,1.8486012068019746,1780
18,Yes,One year,Bank transfer (automatic),20.15,390.85,Yes,19.397022332506207,1781
60,Yes,One year,Electronic check,104.35,6339.45,No,60.751796837565884,1782
26,Yes,Month-to-month,Electronic check,66.05,1652.4,No,25.017411052233157,1783
1,Yes,Month-to-month,Electronic check,71.65,71.65,Yes,1.0,1784
4,Yes,Month-to-month,Mailed check,20.35,77.5,Yes,3.808353808353808,1785
68,Yes,Two year,Credit card (automatic),92.2,6392.85,No,69.33676789587852,1786
38,Yes,Month-to-month,Credit card (automatic),84.25,3264.5,Yes,38.74777448071217,1787
42,Yes,One year,Bank transfer (automatic),105.2,4599.15,No,43.718155893536114,1788
57,Yes,Two year,Bank transfer (automatic),19.6,1134.25,No,57.86989795918367,1789
54,No,Month-to-month,Electronic check,30.4,1621.35,No,53.33388157894737,1790
12,Yes,Month-to-month,Bank transfer (automatic),78.1,947.3,Yes,12.12932138284251,1791
44,Yes,One year,Mailed check,61.5,2722.2,No,44.263414634146336,1792
42,Yes,Month-to-month,Bank transfer (automatic),69.4,3058.3,No,44.06772334293948,1793
72,Yes,Two year,Bank transfer (automatic),24.75,1769.6,No,71.49898989898989,1794
71,Yes,Two year,Mailed check,91.05,6293.75,No,69.12410763316859,1795
19,Yes,Month-to-month,Mailed check,89.65,1761.05,Yes,19.643614054656997,1796
23,Yes,Month-to-month,Credit card (automatic),73.65,1642.75,No,22.304820095044125,1797
30,Yes,Two year,Credit card (automatic),19.4,578.5,No,29.819587628865982,1798
35,Yes,One year,Bank transfer (automatic),26.2,954.9,No,36.44656488549618,1799
10,Yes,Month-to-month,Electronic check,98.7,973.25,Yes,9.860688956433638,1800
1,Yes,Month-to-month,Bank transfer (automatic),43.85,43.85,No,1.0,1801
22,Yes,Month-to-month,Mailed check,69.7,1490.4,No,21.383070301291248,1802
7,No,Two year,Mailed check,38.55,280.0,No,7.263294422827498,1803
36,No,Two year,Mailed check,53.1,1901.25,No,35.80508474576271,1804
34,Yes,Month-to-month,Mailed check,20.65,716.4,No,34.69249394673123,1805
72,Yes,Two year,Credit card (automatic),64.45,4720.0,No,73.23506594259115,1806
36,Yes,Two year,Credit card (automatic),25.1,930.95,No,37.08964143426295,1807
1,Yes,Month-to-month,Electronic check,76.35,76.35,Yes,1.0,1808
23,Yes,Month-to-month,Electronic check,79.15,1676.95,Yes,21.186986734049274,1809
32,Yes,Month-to-month,Electronic check,85.0,2642.05,Yes,31.08294117647059,1810
71,Yes,One year,Credit card (automatic),95.15,6770.85,No,71.15974776668418,1811
23,Yes,Month-to-month,Mailed check,79.35,1835.3,No,23.129174543163202,1812
17,Yes,One year,Bank transfer (automatic),96.65,1588.25,No,16.433005690636314,1813
1,Yes,Month-to-month,Electronic check,75.5,75.5,No,1.0,1814
12,Yes,Two year,Mailed check,19.7,258.35,No,13.114213197969544,1815
72,Yes,Two year,Credit card (automatic),20.5,1502.25,No,73.28048780487805,1816
1,Yes,Month-to-month,Mailed check,19.2,19.2,No,1.0,1817
72,Yes,Two year,Bank transfer (automatic),98.35,6929.4,No,70.45653279105237,1818
60,Yes,Month-to-month,Bank transfer (automatic),74.35,4453.3,No,59.89643577673168,1819
61,No,Two year,Credit card (automatic),51.35,3244.4,No,63.182083739045765,1820
6,Yes,Month-to-month,Mailed check,45.65,323.45,No,7.085432639649507,1821
32,Yes,Month-to-month,Electronic check,85.3,2661.1,Yes,31.196951934349354,1822
31,Yes,Month-to-month,Credit card (automatic),86.55,2697.4,Yes,31.16580011554015,1823
19,Yes,Month-to-month,Credit card (automatic),73.85,1424.5,Yes,19.28909952606635,1824
72,Yes,Two year,Bank transfer (automatic),20.3,1401.15,No,69.02216748768473,1825
32,Yes,Month-to-month,Electronic check,54.2,1739.6,No,32.09594095940959,1826
65,Yes,Month-to-month,Electronic check,90.65,5931.0,No,65.42746828461114,1827
45,No,Month-to-month,Bank transfer (automatic),50.9,2333.85,No,45.851669941060905,1828
42,Yes,One year,Electronic check,25.05,949.85,No,37.91816367265469,1829
8,Yes,Month-to-month,Electronic check,74.85,572.45,No,7.647962591850368,1830
32,Yes,Two year,Mailed check,20.5,696.8,No,33.99024390243902,1831
22,Yes,Month-to-month,Mailed check,63.55,1381.8,No,21.743509047993705,1832
57,No,Month-to-month,Electronic check,44.85,2572.95,Yes,57.36789297658862,1833
1,Yes,Month-to-month,Electronic check,47.95,47.95,No,1.0,1834
1,Yes,Month-to-month,Electronic check,45.1,45.1,Yes,1.0,1835
1,Yes,Month-to-month,Electronic check,45.0,45.0,No,1.0,1836
24,Yes,Month-to-month,Electronic check,96.0,2122.45,Yes,22.108854166666664,1837
1,Yes,Month-to-month,Bank transfer (automatic),20.05,20.05,Yes,1.0,1838
54,Yes,Month-to-month,Electronic check,90.05,4931.8,No,54.76735147140478,1839
4,Yes,Two year,Credit card (automatic),25.3,116.95,No,4.622529644268774,1840
65,Yes,Two year,Bank transfer (automatic),108.65,6937.95,Yes,63.855959502991254,1841
56,Yes,One year,Electronic check,24.3,1261.7,No,51.92181069958848,1842
45,Yes,Month-to-month,Electronic check,75.95,3273.8,No,43.104674127715604,1843
71,Yes,Two year,Credit card (automatic),19.7,1415.85,No,71.87055837563452,1844
59,Yes,One year,Credit card (automatic),66.4,3958.2,No,59.611445783132524,1845
69,No,One year,Bank transfer (automatic),35.75,2492.25,No,69.7132867132867,1846
19,Yes,One year,Mailed check,18.8,279.2,No,14.851063829787233,1847
55,Yes,Two year,Credit card (automatic),19.4,1083.0,No,55.82474226804124,1848
38,Yes,One year,Mailed check,19.3,755.5,No,39.145077720207254,1849
10,Yes,Month-to-month,Electronic check,45.55,402.6,Yes,8.838638858397367,1850
47,Yes,Month-to-month,Credit card (automatic),67.45,3252.0,No,48.21349147516679,1851
2,No,Month-to-month,Electronic check,35.1,68.75,Yes,1.9586894586894585,1852
1,Yes,Month-to-month,Credit card (automatic),46.2,46.2,Yes,1.0,1853
1,Yes,Month-to-month,Electronic check,45.15,45.15,Yes,1.0,1854
1,No,Month-to-month,Electronic check,43.3,43.3,Yes,1.0,1855
46,Yes,Two year,Mailed check,20.1,936.85,No,46.6094527363184,1856
38,Yes,Month-to-month,Credit card (automatic),57.15,2250.65,Yes,39.3814523184602,1857
65,Yes,Two year,Credit card (automatic),58.9,3857.1,No,65.4855687606112,1858
19,Yes,Month-to-month,Electronic check,73.2,1441.1,Yes,19.687158469945352,1859
52,Yes,Month-to-month,Electronic check,85.35,4338.6,Yes,50.833040421792624,1860
71,Yes,Two year,Mailed check,19.45,1378.45,No,70.87146529562982,1861
1,Yes,Month-to-month,Mailed check,45.95,45.95,Yes,1.0,1862
52,No,Month-to-month,Electronic check,50.5,2566.3,No,50.81782178217822,1863
6,Yes,One year,Mailed check,25.1,171.0,No,6.812749003984063,1864
26,Yes,One year,Mailed check,60.7,1597.4,No,26.316309719934104,1865
48,Yes,One year,Electronic check,99.0,4744.35,No,47.92272727272728,1866
64,Yes,One year,Bank transfer (automatic),104.4,6721.6,No,64.38314176245211,1867
3,Yes,Month-to-month,Electronic check,83.75,247.25,Yes,2.952238805970149,1868
1,Yes,Month-to-month,Bank transfer (automatic),44.05,44.05,No,1.0,1869
72,Yes,Two year,Credit card (automatic),24.1,1734.65,No,71.97717842323651,1870
1,Yes,Month-to-month,Mailed check,45.55,45.55,No,1.0,1871
51,Yes,Month-to-month,Electronic check,93.8,4539.35,No,48.39392324093817,1872
41,Yes,Two year,Bank transfer (automatic),19.7,804.25,No,40.8248730964467,1873
72,Yes,Two year,Credit card (automatic),70.65,5011.15,No,70.92922859164896,1874
43,Yes,Two year,Credit card (automatic),86.45,3574.5,No,41.3475997686524,1875
72,Yes,Two year,Credit card (automatic),114.1,8086.4,No,70.87116564417178,1876
47,Yes,One year,Credit card (automatic),95.2,4563.0,No,47.930672268907564,1877
72,Yes,Two year,Credit card (automatic),88.55,6362.35,No,71.85036702428008,1878
3,Yes,Month-to-month,Credit card (automatic),20.75,67.1,No,3.233734939759036,1879
1,Yes,Month-to-month,Electronic check,70.05,70.05,Yes,1.0,1880
2,Yes,Month-to-month,Electronic check,86.0,165.45,Yes,1.9238372093023255,1881
26,No,Month-to-month,Bank transfer (automatic),44.65,1156.55,No,25.902575587905936,1882
29,Yes,Month-to-month,Mailed check,60.2,1834.15,No,30.467607973421927,1883
35,Yes,Month-to-month,Bank transfer (automatic),100.5,3653.35,Yes,36.351741293532335,1884
27,Yes,One year,Bank transfer (automatic),55.45,1477.65,No,26.648331830477908,1885
24,Yes,Month-to-month,Credit card (automatic),70.3,1706.45,No,24.273826458036986,1886
67,Yes,Two year,Bank transfer (automatic),60.4,3953.7,No,65.45860927152317,1887
16,Yes,Month-to-month,Electronic check,72.65,1194.3,Yes,16.439091534755676,1888
23,Yes,One year,Bank transfer (automatic),55.8,1327.85,No,23.79659498207885,1889
14,No,Month-to-month,Mailed check,31.1,419.7,No,13.495176848874596,1890
1,Yes,Month-to-month,Electronic check,21.0,21.0,Yes,1.0,1891
1,Yes,Month-to-month,Mailed check,45.1,45.1,Yes,1.0,1892
4,No,Month-to-month,Credit card (automatic),50.95,207.35,No,4.069676153091265,1893
16,Yes,Month-to-month,Electronic check,69.1,1083.7,No,15.683068017366137,1894
46,No,Month-to-month,Electronic check,43.95,2007.85,No,45.684869169510804,1895
68,Yes,Two year,Bank transfer (automatic),86.5,5882.75,No,68.00867052023122,1896
38,Yes,Month-to-month,Electronic check,69.95,2657.55,No,37.99213724088635,1897
30,Yes,Month-to-month,Bank transfer (automatic),50.4,1527.5,Yes,30.307539682539684,1898
5,Yes,Month-to-month,Electronic check,78.95,378.4,Yes,4.79290690310323,1899
17,Yes,Month-to-month,Credit card (automatic),90.95,1612.2,No,17.7262231995602,1900
4,Yes,Two year,Mailed check,19.9,76.65,No,3.8517587939698497,1901
12,Yes,One year,Electronic check,20.15,260.7,No,12.937965260545907,1902
72,Yes,Two year,Credit card (automatic),90.6,6441.85,No,71.10209713024284,1903
3,Yes,Month-to-month,Electronic check,92.0,266.8,No,2.9,1904
56,Yes,Month-to-month,Electronic check,94.45,5124.6,Yes,54.2572789835892,1905
41,Yes,One year,Mailed check,24.85,962.25,No,38.72233400402414,1906
40,No,One year,Credit card (automatic),36.0,1382.9,No,38.41388888888889,1907
7,Yes,Month-to-month,Electronic check,78.5,571.05,No,7.27452229299363,1908
69,Yes,Two year,Credit card (automatic),19.95,1399.35,No,70.14285714285714,1909
7,Yes,One year,Mailed check,20.65,150.0,No,7.263922518159807,1910
5,No,Month-to-month,Electronic check,30.5,167.2,No,5.481967213114753,1911
72,Yes,Two year,Credit card (automatic),106.1,7657.4,No,72.17153628652216,1912
44,Yes,One year,Bank transfer (automatic),20.5,865.05,No,42.197560975609754,1913
65,Yes,One year,Electronic check,95.5,6153.85,No,64.43821989528796,1914
3,Yes,Month-to-month,Electronic check,64.6,174.2,No,2.696594427244582,1915
24,Yes,Month-to-month,Credit card (automatic),51.1,1269.6,No,24.845401174168295,1916
44,Yes,Month-to-month,Bank transfer (automatic),84.8,3862.55,Yes,45.54893867924529,1917
72,Yes,Two year,Credit card (automatic),89.1,6352.4,No,71.29517396184063,1918
24,Yes,Month-to-month,Electronic check,54.95,1348.5,No,24.540491355777977,1919
1,Yes,Month-to-month,Mailed check,50.9,50.9,Yes,1.0,1920
22,Yes,Month-to-month,Bank transfer (automatic),20.45,471.55,No,23.058679706601467,1921
70,Yes,Two year,Credit card (automatic),85.95,5931.75,No,69.01396160558464,1922
25,Yes,Month-to-month,Electronic check,60.35,1404.65,No,23.27506213753107,1923
37,Yes,Two year,Bank transfer (automatic),19.8,726.1,No,36.67171717171717,1924
22,Yes,Month-to-month,Bank transfer (automatic),85.35,1961.6,No,22.98301113063855,1925
59,Yes,Two year,Bank transfer (automatic),72.1,4194.85,No,58.18099861303746,1926
49,Yes,Month-to-month,Electronic check,99.8,4872.45,Yes,48.82214428857716,1927
47,Yes,Month-to-month,Bank transfer (automatic),107.35,5118.95,Yes,47.684676292501166,1928
31,Yes,Month-to-month,Mailed check,19.55,658.95,Yes,33.70588235294118,1929
1,Yes,Month-to-month,Electronic check,81.05,81.05,No,1.0,1930
3,Yes,Month-to-month,Electronic check,20.5,76.95,No,3.753658536585366,1931
53,Yes,One year,Bank transfer (automatic),111.8,5809.75,No,51.965563506261184,1932
1,Yes,Month-to-month,Mailed check,20.2,20.2,No,1.0,1933
20,Yes,One year,Mailed check,19.7,415.9,No,21.111675126903553,1934
3,Yes,Month-to-month,Electronic check,79.1,246.5,Yes,3.1163084702907713,1935
51,Yes,One year,Bank transfer (automatic),19.85,996.95,No,50.22418136020151,1936
51,Yes,One year,Bank transfer (automatic),60.5,3145.15,No,51.985950413223144,1937
13,Yes,Two year,Mailed check,19.55,265.3,No,13.570332480818415,1938
1,Yes,Month-to-month,Mailed check,20.9,20.9,No,1.0,1939
1,Yes,Month-to-month,Mailed check,21.05,21.05,No,1.0,1940
63,Yes,One year,Electronic check,71.5,4576.3,No,64.0041958041958,1941
3,Yes,Month-to-month,Mailed check,54.65,189.1,No,3.4602012808783167,1942
46,Yes,Two year,Credit card (automatic),19.2,908.15,No,47.299479166666664,1943
1,Yes,Month-to-month,Credit card (automatic),49.8,49.8,No,1.0,1944
8,No,Month-to-month,Mailed check,25.5,215.2,Yes,8.43921568627451,1945
71,Yes,Two year,Bank transfer (automatic),20.5,1500.95,No,73.21707317073171,1946
55,Yes,Month-to-month,Credit card (automatic),90.4,5099.15,No,56.40652654867256,1947
70,Yes,One year,Bank transfer (automatic),90.25,6385.95,No,70.7584487534626,1948
2,Yes,Month-to-month,Electronic check,80.75,159.45,Yes,1.974613003095975,1949
67,Yes,Two year,Bank transfer (automatic),104.6,6885.75,No,65.8293499043977,1950
