tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_TotalCharges_Ratio
3,1,Month-to-month,Electronic check,79.4,205.05,1,0.3872226286271641
13,1,Month-to-month,Electronic check,81.15,952.3,1,0.08521474325317653
68,1,Two year,Credit card (automatic),103.75,7039.45,0,0.014738367344039662
30,1,One year,Electronic check,86.45,2538.05,0,0.034061582711136504
16,1,Month-to-month,Bank transfer (automatic),75.1,1212.85,0,0.06192027043739951
33,1,Two year,Bank transfer (automatic),80.6,2651.1,0,0.030402474444570178
72,1,Two year,Credit card (automatic),19.3,1304.8,0,0.014791538933169835
4,1,Month-to-month,Electronic check,84.6,360.1,1,0.23493474034990278
12,0,One year,Mailed check,33.6,435.45,0,0.07716155700998967
4,1,Month-to-month,Electronic check,83.25,308.05,0,0.2702483363090407
6,1,Month-to-month,Electronic check,79.05,434.5,1,0.1819332566168009
65,1,One year,Credit card (automatic),108.05,7118.9,0,0.015177906699068676
15,1,Month-to-month,Mailed check,19.9,320.45,0,0.06210017163364019
24,1,One year,Bank transfer (automatic),21.05,531.55,0,0.03960116640015051
13,0,Month-to-month,Electronic check,30.15,382.2,0,0.07888540031397175
24,1,Month-to-month,Credit card (automatic),79.85,2001.0,0,0.03990504747626187
72,0,Two year,Bank transfer (automatic),65.5,4919.7,0,0.013313819948370836
54,1,Month-to-month,Bank transfer (automatic),104.1,5645.8,0,0.018438485245669347
3,1,Month-to-month,Bank transfer (automatic),74.4,215.8,1,0.3447636700648749
4,1,Month-to-month,Mailed check,20.5,77.6,0,0.26417525773195877
32,1,Month-to-month,Mailed check,91.35,2896.55,0,0.0315375187723326
35,1,Month-to-month,Electronic check,99.05,3395.8,1,0.029168384474939628
35,1,Two year,Bank transfer (automatic),20.5,759.35,0,0.026996773556331073
2,1,Month-to-month,Mailed check,44.95,85.15,1,0.5278919553728714
8,1,Month-to-month,Electronic check,75.6,535.55,0,0.1411632900756232
22,1,Month-to-month,Mailed check,55.1,1253.15,0,0.04396919762199258
15,1,Month-to-month,Electronic check,58.95,955.15,0,0.06171805475579752
22,1,Month-to-month,Electronic check,95.1,2162.6,0,0.04397484509386849
1,1,Month-to-month,Credit card (automatic),44.7,44.7,1,1.0
71,1,Two year,Bank transfer (automatic),25.45,1813.35,0,0.01403479747428792
4,1,Month-to-month,Electronic check,56.75,245.15,0,0.23149092392412807
25,1,Month-to-month,Bank transfer (automatic),81.75,2028.8,0,0.04029475552050473
32,1,Month-to-month,Electronic check,86.1,2723.75,0,0.03161083065626434
7,0,Month-to-month,Bank transfer (automatic),29.8,220.45,0,0.13517804490814245
17,1,One year,Mailed check,20.5,365.8,0,0.056041552761071624
8,1,Month-to-month,Bank transfer (automatic),60.9,551.95,0,0.11033608116677233
56,1,Two year,Bank transfer (automatic),73.25,4054.2,0,0.01806768289674905
1,1,Month-to-month,Mailed check,45.7,45.7,1,1.0
8,1,Month-to-month,Credit card (automatic),100.3,832.35,1,0.12050219258725295
7,1,Month-to-month,Electronic check,19.25,112.3,1,0.1714158504007124
3,1,Month-to-month,Mailed check,20.85,60.65,0,0.3437757625721352
71,1,Two year,Credit card (automatic),77.35,5550.1,0,0.01393668582548062
2,1,Month-to-month,Electronic check,96.0,174.8,1,0.5491990846681922
1,1,Month-to-month,Electronic check,90.55,90.55,1,1.0
49,1,Month-to-month,Bank transfer (automatic),93.85,4733.1,0,0.019828442247153025
58,1,Two year,Bank transfer (automatic),70.1,4048.95,0,0.01731313056471431
44,0,Month-to-month,Electronic check,30.35,1359.7,1,0.022321100242700596
59,1,Two year,Credit card (automatic),75.95,4542.35,0,0.016720420046892028
71,1,Two year,Electronic check,108.05,7532.15,1,0.014345173688787398
1,1,Month-to-month,Electronic check,69.9,69.9,1,1.0
11,1,Month-to-month,Electronic check,75.25,888.65,0,0.08467900748326113
62,1,One year,Electronic check,103.75,6383.35,1,0.016253221270962737
35,1,One year,Bank transfer (automatic),54.95,1916.0,0,0.028679540709812112
20,1,Month-to-month,Bank transfer (automatic),19.5,413.0,0,0.04721549636803874
40,1,Two year,Mailed check,19.6,808.95,0,0.024228938747759443
39,1,One year,Electronic check,47.85,1886.4,0,0.025365776081424936
1,1,Month-to-month,Electronic check,86.6,86.6,1,1.0
72,1,Two year,Bank transfer (automatic),23.75,1679.25,0,0.01414321869882388
33,1,Month-to-month,Bank transfer (automatic),80.6,2656.5,1,0.030340673818934686
12,1,Month-to-month,Bank transfer (automatic),43.8,540.95,0,0.08096866623532673
1,1,Month-to-month,Bank transfer (automatic),19.75,19.75,0,1.0
27,1,Month-to-month,Mailed check,19.15,537.35,0,0.035637852423932255
34,1,One year,Credit card (automatic),19.6,678.8,0,0.02887448438420743
56,1,Two year,Bank transfer (automatic),80.3,4513.65,0,0.01779047998847939
58,1,Two year,Credit card (automatic),24.35,1423.85,0,0.01710152052533624
22,1,Two year,Credit card (automatic),25.25,555.4,0,0.045462729564278
10,1,Two year,Credit card (automatic),26.1,225.55,0,0.11571713589004655
13,1,Two year,Credit card (automatic),20.0,268.45,0,0.07450176941702366
35,1,Month-to-month,Credit card (automatic),85.3,2917.5,1,0.029237360754070265
34,1,Month-to-month,Credit card (automatic),70.0,2416.1,1,0.02897231074872729
4,1,Month-to-month,Electronic check,94.3,424.45,1,0.22216986688655907
72,1,Two year,Bank transfer (automatic),20.7,1492.1,0,0.013873064807988741
2,1,Month-to-month,Electronic check,70.3,132.4,0,0.5309667673716012
7,1,Month-to-month,Electronic check,95.35,660.9,1,0.1442729611136329
27,1,Month-to-month,Electronic check,75.5,1893.95,1,0.03986377676285013
4,1,Month-to-month,Mailed check,69.55,284.9,0,0.24412074412074414
37,1,Two year,Mailed check,19.85,784.25,0,0.025310806503028374
21,1,Month-to-month,Mailed check,20.0,417.7,0,0.04788125448886761
53,1,One year,Credit card (automatic),95.85,5016.25,0,0.019107899327186643
18,1,Month-to-month,Electronic check,90.1,1612.75,1,0.055867307394202446
2,1,Month-to-month,Electronic check,68.95,119.75,1,0.5757828810020877
32,1,Month-to-month,Credit card (automatic),99.55,3204.65,1,0.031064234783829747
23,1,One year,Electronic check,20.75,485.2,0,0.04276586974443528
3,1,Month-to-month,Mailed check,50.15,160.85,0,0.31178116257382654
71,0,Two year,Mailed check,58.65,4145.25,0,0.014148724443640312
9,1,Month-to-month,Bank transfer (automatic),95.9,827.45,0,0.1158982415855943
1,1,Month-to-month,Electronic check,49.5,49.5,0,1.0
18,1,Month-to-month,Electronic check,57.45,990.85,1,0.057980521774234246
12,1,One year,Credit card (automatic),53.65,696.35,1,0.07704458964601134
71,1,Two year,Mailed check,80.1,5585.4,0,0.014340960360941025
64,1,One year,Bank transfer (automatic),24.4,1601.2,0,0.015238571071696226
4,0,Month-to-month,Electronic check,40.05,162.45,0,0.24653739612188366
23,1,Month-to-month,Mailed check,19.5,470.2,0,0.04147171416418546
39,1,Month-to-month,Credit card (automatic),51.05,2066.0,0,0.02470958373668925
28,1,One year,Mailed check,54.35,1426.45,0,0.03810158084755862
5,1,Month-to-month,Electronic check,84.7,392.5,0,0.21579617834394904
45,1,Month-to-month,Electronic check,86.1,3861.45,0,0.02229732354426446
37,1,Month-to-month,Mailed check,70.35,2552.9,0,0.027556896078969013
60,1,Two year,Bank transfer (automatic),110.0,6668.35,0,0.016495834801712565
8,1,Month-to-month,Electronic check,100.6,819.4,1,0.12277276055650475
47,1,One year,Credit card (automatic),94.9,4615.25,0,0.020562266399436653
26,1,Month-to-month,Electronic check,83.75,2070.6,1,0.04044721336810587
3,1,Month-to-month,Mailed check,88.3,273.75,1,0.3225570776255708
50,1,Month-to-month,Bank transfer (automatic),69.75,3557.7,0,0.01960536301543132
27,1,Month-to-month,Bank transfer (automatic),71.6,1957.1,0,0.036584742731592665
8,1,Month-to-month,Electronic check,92.1,729.95,1,0.12617302554969517
62,1,Two year,Bank transfer (automatic),23.65,1416.75,0,0.01669313569790012
71,1,Two year,Bank transfer (automatic),81.85,5924.4,0,0.013815745054351495
66,1,Two year,Mailed check,25.1,1697.7,0,0.014784708723567179
68,1,Two year,Bank transfer (automatic),114.7,7849.85,0,0.014611744173455543
13,0,Month-to-month,Electronic check,49.15,649.4,0,0.075685247921158
56,1,One year,Electronic check,80.9,4557.5,0,0.017750959956116294
38,1,Month-to-month,Electronic check,79.45,3013.05,1,0.026368629793730603
14,1,Month-to-month,Credit card (automatic),90.45,1266.1,1,0.07143985467182688
16,1,One year,Bank transfer (automatic),19.3,360.35,0,0.05355903982239489
14,1,Month-to-month,Electronic check,70.2,1046.5,0,0.06708074534161491
32,1,Month-to-month,Bank transfer (automatic),69.75,2347.9,1,0.02970739810043017
8,1,One year,Bank transfer (automatic),54.25,447.75,0,0.12116136236739251
43,1,Month-to-month,Bank transfer (automatic),99.3,4209.95,0,0.023586978467677763
52,1,One year,Credit card (automatic),74.0,3877.65,0,0.01908372338916612
3,1,Month-to-month,Mailed check,50.25,152.3,0,0.329940906106369
29,1,One year,Mailed check,19.8,572.2,0,0.03460328556448794
1,1,Month-to-month,Mailed check,19.65,19.65,1,1.0
12,0,Month-to-month,Electronic check,43.65,526.95,1,0.08283518360375747
16,0,Month-to-month,Credit card (automatic),35.5,552.7,0,0.06423014293468428
40,1,One year,Mailed check,80.75,3208.65,0,0.025166347217677215
5,0,Month-to-month,Electronic check,39.5,210.75,1,0.1874258600237248
40,1,Month-to-month,Bank transfer (automatic),97.1,3706.95,1,0.026194040923130876
36,1,One year,Mailed check,19.55,620.75,0,0.03149416028997181
5,1,Month-to-month,Electronic check,80.0,412.5,1,0.19393939393939394
10,1,Month-to-month,Mailed check,84.7,832.05,1,0.10179676702121268
2,1,Month-to-month,Bank transfer (automatic),89.55,185.55,1,0.48261924009700885
23,1,Month-to-month,Electronic check,90.6,1943.2,1,0.046624125154384514
26,1,One year,Bank transfer (automatic),20.05,505.9,0,0.039632338406799764
72,1,Two year,Electronic check,112.4,8046.85,0,0.013968198736151414
34,1,Month-to-month,Bank transfer (automatic),50.2,1815.3,0,0.027653831322646396
10,1,Month-to-month,Bank transfer (automatic),62.25,612.95,0,0.10155803899176115
14,1,One year,Mailed check,55.7,795.15,0,0.0700496761617305
23,1,Month-to-month,Bank transfer (automatic),90.05,2169.8,1,0.041501520877500225
47,1,Two year,Mailed check,19.65,973.1,0,0.020193196999280648
24,1,Month-to-month,Electronic check,89.25,2210.2,0,0.040380960999004616
49,1,Month-to-month,Bank transfer (automatic),99.05,4853.75,1,0.020406901879989697
20,1,One year,Mailed check,54.0,1055.9,0,0.05114120655365091
2,1,Month-to-month,Bank transfer (automatic),69.75,144.55,1,0.4825319958491871
2,1,Month-to-month,Credit card (automatic),49.05,91.1,1,0.5384193194291987
22,0,Two year,Bank transfer (automatic),56.75,1304.85,0,0.04349158907154079
7,1,Month-to-month,Bank transfer (automatic),98.05,713.0,1,0.13751753155680224
1,1,Month-to-month,Mailed check,21.1,21.1,0,1.0
59,1,Month-to-month,Bank transfer (automatic),96.65,5580.8,0,0.017318305619266054
58,1,One year,Credit card (automatic),24.5,1497.9,0,0.016356232058214834
41,1,Month-to-month,Bank transfer (automatic),114.5,4527.45,1,0.02529017438072204
59,1,Two year,Credit card (automatic),79.2,4590.35,0,0.017253586327839923
3,1,Month-to-month,Electronic check,69.55,200.2,0,0.34740259740259744
32,1,Two year,Bank transfer (automatic),20.05,614.45,0,0.03263080803971031
46,1,Month-to-month,Electronic check,98.85,4564.9,0,0.021654362636640452
2,1,Month-to-month,Electronic check,80.95,171.15,1,0.47297692082968157
52,1,One year,Credit card (automatic),19.6,1012.4,0,0.019359936783879893
13,1,Month-to-month,Electronic check,74.3,940.35,1,0.0790131334077737
11,1,Month-to-month,Bank transfer (automatic),89.7,1047.7,1,0.08561611148229455
32,1,Month-to-month,Bank transfer (automatic),87.65,2766.4,0,0.031683776749566225
17,1,Month-to-month,Credit card (automatic),100.45,1622.45,1,0.061912539677648
16,1,Month-to-month,Credit card (automatic),74.75,1129.35,0,0.06618851551777571
51,1,One year,Bank transfer (automatic),107.45,5680.9,0,0.018914256543857488
29,1,One year,Bank transfer (automatic),75.35,2243.9,0,0.03357992780426935
70,1,Two year,Credit card (automatic),64.95,4523.25,0,0.014359144420494114
71,1,Two year,Electronic check,100.45,7159.7,0,0.014029917454641955
41,1,One year,Bank transfer (automatic),68.5,2839.95,0,0.024120142960263387
1,1,Month-to-month,Electronic check,80.55,80.55,0,1.0
7,1,Month-to-month,Bank transfer (automatic),81.25,580.1,0,0.14006205826581622
25,1,One year,Electronic check,90.4,2178.6,1,0.04149453777655376
67,1,One year,Electronic check,89.55,6038.55,0,0.014829719055071166
5,1,Month-to-month,Mailed check,55.7,259.4,0,0.21472629144178879
15,1,Month-to-month,Electronic check,24.8,324.15,0,0.0765077896035786
20,1,Month-to-month,Electronic check,20.0,417.65,0,0.04788698671136119
3,1,Month-to-month,Mailed check,56.15,168.15,1,0.33392804044008323
54,1,One year,Electronic check,105.2,5637.85,0,0.01865959541314508
42,1,One year,Mailed check,19.55,839.4,0,0.023290445556349775
9,1,Month-to-month,Electronic check,79.75,769.1,0,0.10369262774671693
63,1,Two year,Bank transfer (automatic),97.45,6253.0,0,0.015584519430673278
69,1,Two year,Bank transfer (automatic),24.25,1641.8,0,0.014770373979778293
69,1,Two year,Credit card (automatic),24.6,1678.05,0,0.014659873066952715
40,1,Month-to-month,Mailed check,50.15,2058.5,0,0.02436239980568375
60,0,Two year,Bank transfer (automatic),39.6,2424.5,0,0.016333264590637244
4,1,Month-to-month,Bank transfer (automatic),94.4,387.2,1,0.243801652892562
71,1,Two year,Mailed check,89.85,6293.45,0,0.01427674804757327
37,1,Month-to-month,Credit card (automatic),78.95,2839.65,1,0.027802722166464178
32,1,Month-to-month,Credit card (automatic),98.85,3145.9,0,0.03142185066276741
39,1,Two year,Credit card (automatic),53.85,2200.7,0,0.024469486981415007
38,1,One year,Electronic check,24.25,914.4,0,0.026520122484689414
52,1,Two year,Credit card (automatic),89.45,4577.75,0,0.01954016711266452
48,1,Month-to-month,Credit card (automatic),105.25,4997.5,0,0.021060530265132566
70,0,Two year,Bank transfer (automatic),59.5,4144.8,0,0.014355336807566106
20,1,Month-to-month,Credit card (automatic),70.55,1493.55,0,0.047236450068628436
50,1,One year,Credit card (automatic),82.5,4179.1,0,0.019741092579742048
19,0,One year,Credit card (automatic),44.85,893.55,1,0.0501930501930502
25,1,One year,Bank transfer (automatic),61.6,1611.0,0,0.03823711980136561
12,1,Month-to-month,Bank transfer (automatic),49.05,593.05,0,0.0827080347356884
39,1,Month-to-month,Electronic check,105.65,4284.8,1,0.024656926811053026
7,1,Month-to-month,Mailed check,74.65,544.55,1,0.13708566706454872
23,1,One year,Mailed check,66.25,1533.8,0,0.04319337592906507
27,1,Month-to-month,Electronic check,19.4,529.8,0,0.03661759154397886
47,1,Month-to-month,Credit card (automatic),86.05,3865.6,0,0.022260451158940396
26,1,Two year,Credit card (automatic),19.15,515.75,0,0.037130392632089185
14,1,Month-to-month,Bank transfer (automatic),64.7,941.0,1,0.06875664187035069
11,1,Month-to-month,Bank transfer (automatic),104.05,1133.65,1,0.09178317822961231
2,1,Month-to-month,Mailed check,19.25,48.35,0,0.3981385729058945
26,1,Month-to-month,Electronic check,81.95,2070.05,0,0.03958841573875027
72,1,Two year,Bank transfer (automatic),114.65,8333.95,0,0.013756981983333232
63,1,Two year,Credit card (automatic),20.0,1209.25,0,0.016539177175935497
71,1,Two year,Mailed check,19.8,1396.25,0,0.014180841539838854
11,1,Month-to-month,Bank transfer (automatic),65.15,723.35,0,0.09006704914633304
14,1,One year,Mailed check,19.65,228.65,0,0.08593920839711348
13,1,Two year,Credit card (automatic),88.95,1161.75,0,0.07656552614590058
6,1,Month-to-month,Mailed check,20.2,98.35,0,0.2053889171326894
11,1,Month-to-month,Credit card (automatic),75.2,775.3,0,0.09699471172449375
18,1,Month-to-month,Credit card (automatic),56.8,1074.65,0,0.05285441771739635
1,0,Month-to-month,Electronic check,35.55,35.55,1,1.0
32,1,Month-to-month,Bank transfer (automatic),75.5,2324.7,0,0.03247730890007313
29,0,One year,Mailed check,35.6,1072.6,0,0.033190378519485364
3,1,Month-to-month,Electronic check,60.25,170.5,0,0.3533724340175953
2,1,Month-to-month,Electronic check,95.15,196.9,1,0.48324022346368717
13,1,Month-to-month,Mailed check,96.65,1162.85,1,0.0831147611471815
41,0,Month-to-month,Electronic check,40.35,1677.85,0,0.024048633668087138
1,1,Month-to-month,Electronic check,18.85,18.85,0,1.0
7,1,Month-to-month,Mailed check,54.85,370.4,0,0.1480831533477322
52,1,One year,Mailed check,64.3,3410.6,0,0.01885298774409195
45,1,Two year,Bank transfer (automatic),24.65,1138.8,0,0.021645591851071302
70,1,Two year,Credit card (automatic),76.1,5264.25,0,0.014456000379921166
53,1,Two year,Mailed check,18.7,1005.7,0,0.01859401411951874
62,1,One year,Credit card (automatic),97.95,5936.55,0,0.01649948202238674
60,1,Month-to-month,Credit card (automatic),94.1,5475.9,0,0.017184389780675324
3,1,Month-to-month,Electronic check,80.4,224.05,1,0.35884847132336534
23,1,Month-to-month,Electronic check,95.1,2326.05,0,0.040884761720513314
1,0,Month-to-month,Mailed check,31.35,31.35,1,1.0
67,1,One year,Bank transfer (automatic),72.35,4991.5,0,0.01449464088951217
12,1,Month-to-month,Bank transfer (automatic),89.75,1052.4,1,0.08528126187761306
71,1,Two year,Bank transfer (automatic),82.7,5831.2,0,0.014182329537659489
25,1,One year,Credit card (automatic),19.9,510.8,0,0.03895849647611589
5,1,Month-to-month,Electronic check,53.8,283.95,0,0.18946997710864588
26,1,One year,Credit card (automatic),51.55,1295.4,0,0.039794658020688586
1,1,One year,Mailed check,19.65,19.65,0,1.0
70,0,One year,Credit card (automatic),44.05,3011.65,0,0.014626533627745587
72,1,Two year,Electronic check,114.0,8093.15,0,0.014085986297053682
60,1,One year,Electronic check,94.4,5610.25,1,0.01682634463704826
32,1,Month-to-month,Electronic check,100.4,3217.65,0,0.03120289652386058
1,1,Month-to-month,Electronic check,19.85,19.85,1,1.0
14,1,One year,Mailed check,54.25,773.2,0,0.07016295913088463
13,1,Month-to-month,Credit card (automatic),80.0,1029.35,0,0.07771894885121679
6,1,Month-to-month,Credit card (automatic),109.9,669.45,1,0.16416461274180297
46,1,Two year,Mailed check,79.2,3593.8,0,0.0220379542545495
15,1,Month-to-month,Electronic check,101.35,1553.95,1,0.06522088870298272
43,1,Month-to-month,Electronic check,94.3,3953.15,0,0.023854394596714013
39,1,Two year,Bank transfer (automatic),49.8,1971.15,0,0.025264439540369832
21,1,Month-to-month,Bank transfer (automatic),60.05,1236.15,1,0.04857824697649961
57,0,Month-to-month,Electronic check,53.75,3196.0,0,0.016817897371714643
53,1,One year,Electronic check,93.45,4872.2,0,0.019180247116292435
18,1,Month-to-month,Mailed check,87.9,1500.5,0,0.05858047317560813
1,1,Month-to-month,Electronic check,60.15,60.15,1,1.0
58,1,One year,Bank transfer (automatic),61.05,3478.75,0,0.017549407114624504
71,1,Two year,Bank transfer (automatic),104.05,7413.55,0,0.014035111383884913
35,1,One year,Electronic check,99.25,3532.0,0,0.02810022650056625
3,1,Month-to-month,Credit card (automatic),85.7,256.75,0,0.3337877312560857
38,1,One year,Electronic check,104.85,3887.25,0,0.02697279567817866
35,1,Two year,Credit card (automatic),69.15,2490.15,0,0.027769411481236073
7,1,Month-to-month,Electronic check,90.45,593.45,1,0.15241385120903192
47,1,Two year,Mailed check,74.45,3510.3,0,0.021209013474631798
14,1,Month-to-month,Electronic check,50.45,765.45,0,0.06590894245215233
20,1,Month-to-month,Electronic check,60.0,1259.35,0,0.047643625679914245
66,1,Two year,Electronic check,85.25,5538.35,0,0.015392671102404144
15,1,Month-to-month,Credit card (automatic),19.45,340.85,0,0.05706322429221065
42,1,Two year,Bank transfer (automatic),20.75,844.45,0,0.024572206761797617
17,1,Month-to-month,Electronic check,78.9,1348.95,0,0.058489936617369065
37,1,One year,Credit card (automatic),104.5,3778.0,0,0.027660137638962416
12,1,Month-to-month,Electronic check,49.4,611.65,0,0.08076514346439957
53,1,One year,Bank transfer (automatic),94.25,4867.95,1,0.019361332799227603
60,1,Two year,Mailed check,25.0,1505.05,0,0.016610743829108668
18,0,Month-to-month,Credit card (automatic),25.55,467.85,0,0.05461152078657689
1,1,Month-to-month,Electronic check,74.9,74.9,1,1.0
3,1,Month-to-month,Electronic check,70.15,194.2,0,0.3612255406797117
9,1,Month-to-month,Credit card (automatic),69.4,571.45,0,0.12144544579578266
1,1,Month-to-month,Electronic check,80.25,80.25,1,1.0
56,1,One year,Electronic check,93.15,5253.95,0,0.017729517791376014
17,1,Month-to-month,Electronic check,69.0,1149.65,1,0.06001826642891314
11,1,Month-to-month,Electronic check,66.35,740.8,1,0.08956533477321814
7,1,Month-to-month,Electronic check,69.55,521.35,0,0.13340366356574276
69,1,Two year,Bank transfer (automatic),20.2,1412.65,0,0.014299366438962232
19,1,Month-to-month,Bank transfer (automatic),86.0,1532.45,1,0.05611928611047669
3,1,Month-to-month,Electronic check,80.3,250.05,1,0.3211357728454309
54,1,Two year,Credit card (automatic),20.4,1090.6,0,0.018705299834953237
62,1,One year,Credit card (automatic),23.75,1446.8,0,0.016415537738457286
24,1,Month-to-month,Credit card (automatic),90.55,2282.55,1,0.03967054390922433
62,1,Month-to-month,Credit card (automatic),70.45,4300.45,0,0.01638200653419991
17,1,Month-to-month,Bank transfer (automatic),65.75,1111.2,0,0.059170266378689704
9,0,Month-to-month,Mailed check,24.6,190.1,0,0.12940557601262495
64,1,Two year,Mailed check,69.25,4447.75,0,0.015569670057894442
2,1,Month-to-month,Electronic check,75.9,143.35,1,0.5294733170561563
1,1,Month-to-month,Mailed check,45.85,45.85,1,1.0
16,0,Month-to-month,Electronic check,49.95,810.2,1,0.06165144408787954
72,1,Two year,Bank transfer (automatic),24.65,1830.05,0,0.013469577333952624
30,1,One year,Bank transfer (automatic),90.4,2820.65,0,0.03204935032705228
49,1,Month-to-month,Mailed check,100.85,4847.35,0,0.02080518221296172
61,1,Two year,Credit card (automatic),75.35,4729.3,0,0.015932590446789165
47,1,Month-to-month,Electronic check,87.2,4017.45,0,0.02170531058258348
20,1,Month-to-month,Credit card (automatic),64.4,1398.6,0,0.046046046046046056
34,1,Month-to-month,Electronic check,78.3,2564.3,1,0.03053464883203993
70,1,Two year,Bank transfer (automatic),24.7,1685.9,0,0.01465092828756154
54,1,One year,Electronic check,105.85,5826.65,0,0.018166527936292726
61,1,One year,Mailed check,98.3,6066.55,0,0.01620360831114884
3,1,Month-to-month,Electronic check,76.95,228.4,1,0.33690893169877406
13,1,One year,Mailed check,19.45,270.2,0,0.07198371576609919
16,1,Month-to-month,Electronic check,96.15,1529.2,1,0.06287601360188334
3,1,Month-to-month,Credit card (automatic),58.7,168.6,0,0.3481613285883749
25,1,Month-to-month,Mailed check,20.15,536.35,0,0.03756875174792579
30,1,Month-to-month,Mailed check,64.5,1888.45,0,0.034154994837035664
21,0,Month-to-month,Electronic check,28.5,629.35,0,0.04528481766902359
1,1,Month-to-month,Electronic check,45.3,45.3,1,1.0
15,1,Month-to-month,Bank transfer (automatic),19.4,289.3,1,0.06705841686830279
23,1,Month-to-month,Electronic check,90.45,2117.25,0,0.042720510095642934
45,1,Month-to-month,Electronic check,105.15,4730.9,0,0.022226214885116998
24,1,One year,Bank transfer (automatic),83.15,2033.05,0,0.04089914168367724
11,1,Month-to-month,Electronic check,90.15,987.95,1,0.09124955716382409
1,1,Month-to-month,Mailed check,45.05,45.05,1,1.0
56,1,Two year,Bank transfer (automatic),103.2,5744.35,0,0.017965479122964305
1,1,Month-to-month,Electronic check,75.8,75.8,1,1.0
1,1,Month-to-month,Electronic check,19.45,19.45,0,1.0
7,1,Month-to-month,Electronic check,79.3,523.15,1,0.15158176431233872
55,1,Two year,Credit card (automatic),88.8,4805.3,0,0.018479595446694273
2,0,Month-to-month,Electronic check,30.9,59.05,1,0.5232853513971211
72,1,Two year,Credit card (automatic),85.9,6110.75,0,0.014057194288753428
45,0,One year,Electronic check,34.2,1596.6,0,0.021420518602029315
47,1,Two year,Mailed check,20.15,1046.2,0,0.0192601796979545
46,1,One year,Credit card (automatic),95.25,4424.2,1,0.021529316034537317
2,1,Month-to-month,Mailed check,50.3,92.75,0,0.5423180592991913
2,1,Month-to-month,Electronic check,80.15,194.55,0,0.41197635569262403
12,1,Month-to-month,Electronic check,51.25,612.1,0,0.08372814899526221
68,1,Month-to-month,Bank transfer (automatic),89.6,6127.6,1,0.014622364384098177
69,1,Two year,Credit card (automatic),95.2,6671.7,0,0.01426922673381597
56,1,One year,Credit card (automatic),94.8,5264.3,0,0.018008092243983056
4,1,Month-to-month,Electronic check,80.25,303.7,0,0.2642410273296016
64,1,Two year,Bank transfer (automatic),76.1,4818.8,0,0.015792313439030464
59,1,One year,Electronic check,110.15,6448.05,1,0.01708268391219051
62,1,Two year,Bank transfer (automatic),115.55,7159.05,0,0.01614040969122998
63,1,Two year,Credit card (automatic),24.65,1574.5,0,0.015655763734518893
53,0,One year,Electronic check,53.6,2879.2,0,0.018616282300639067
5,1,Month-to-month,Mailed check,19.45,86.05,0,0.22603137710633353
49,1,Month-to-month,Electronic check,88.2,4159.45,0,0.02120472658644773
62,1,Two year,Bank transfer (automatic),101.15,6638.35,0,0.015237220092342223
55,1,Two year,Mailed check,56.8,3112.05,0,0.01825163477450555
71,1,Two year,Electronic check,99.4,7168.25,0,0.013866703867750149
72,1,Two year,Credit card (automatic),20.1,1326.25,0,0.015155513666352498
36,0,One year,Credit card (automatic),60.7,2234.55,0,0.027164306012396233
25,1,One year,Bank transfer (automatic),20.95,495.15,0,0.04231041098656973
72,1,Two year,Bank transfer (automatic),114.85,8317.95,0,0.013807488623999902
36,1,One year,Bank transfer (automatic),19.25,679.8,0,0.028317152103559874
1,1,Month-to-month,Mailed check,62.8,62.8,0,1.0
72,1,Two year,Electronic check,105.5,7544.0,0,0.013984623541887592
59,1,Two year,Mailed check,19.85,1188.25,0,0.01670523879654955
7,1,Month-to-month,Electronic check,89.5,676.7,1,0.13225949460617703
1,1,One year,Credit card (automatic),74.1,74.1,0,1.0
30,1,Month-to-month,Electronic check,107.5,3242.5,0,0.03315343099460293
64,1,Two year,Mailed check,19.55,1240.15,0,0.015764222069910898
63,1,One year,Bank transfer (automatic),68.8,4111.35,0,0.01673416274459727
72,1,Two year,Credit card (automatic),84.45,5899.85,0,0.01431392323533649
8,1,Month-to-month,Electronic check,75.0,632.95,1,0.1184927719409116
62,1,Two year,Bank transfer (automatic),84.5,5193.2,0,0.016271277824847878
67,1,Two year,Bank transfer (automatic),111.2,7530.8,0,0.014766027513677166
6,1,Month-to-month,Electronic check,44.75,270.95,1,0.16515962354677985
70,1,Two year,Bank transfer (automatic),80.6,5460.2,0,0.014761364052598805
20,1,Month-to-month,Bank transfer (automatic),80.7,1614.2,0,0.04999380498079544
5,1,Month-to-month,Electronic check,75.6,402.5,0,0.18782608695652173
24,0,One year,Electronic check,57.6,1367.75,0,0.04211295923962713
11,1,Month-to-month,Electronic check,44.05,483.7,1,0.09106884432499483
72,1,Two year,Credit card (automatic),110.6,7962.2,0,0.013890633242068774
66,1,Two year,Credit card (automatic),58.2,3810.8,0,0.015272383751443266
45,1,Two year,Mailed check,81.0,3533.6,0,0.022922798279375142
69,1,Two year,Bank transfer (automatic),19.7,1396.9,0,0.014102655880879089
15,1,Month-to-month,Bank transfer (automatic),85.6,1345.55,1,0.06361710824569879
28,1,Month-to-month,Bank transfer (automatic),59.55,1646.45,0,0.03616872665431686
70,1,One year,Credit card (automatic),115.55,8127.6,1,0.014216989025050444
36,1,One year,Mailed check,75.55,2680.15,0,0.028188720780553324
